"CustomerID";"StoreID";"First_Name";"Last_Name";"Email";"Phone";"Registration_Date";"AddressID"
"0007786c-470f-4cbd-887b-5722f94e7ffe";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Sylvester";"Pannett";"spannettjv@blogtalkradio.com";"503-385-8644";"2024-09-14 23:22:01";"b046053b-6884-42bd-961c-a0b0c4b81720"
"0032e0bc-67ec-41a1-a1f4-593c0ba92330";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Francis";"Hannah";"fhannahfk@cisco.com";"708-120-4085";"2024-11-14 10:34:08";"fcf085a4-8cf1-48a7-84e8-0f99dcb2ef64"
"009edb9e-8251-41da-8580-83e2b2bf9835";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Rubi";"Echallie";"rechalliei9@economist.com";"265-234-8365";"2024-10-04 06:00:01";"cf4a9cd3-5f4f-47ec-a3d5-4f17b6f10200"
"00b635c0-01a5-4d4a-8bb3-06b58819376e";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Ferdinande";"Breche";"fbrechedv@ning.com";"192-627-5165";"2024-05-26 09:31:34";"683c9b20-6275-4866-a0c2-9b2dbcc60ed8"
"00cc4752-4adc-4118-bd3a-37945302e380";"poq10a92-6eef-458f-b0ba-a9fadbc8e200";"Stanislaus";"Madgwich";"smadgwichrj@google.fr";"712-946-6176";"2024-12-20 21:58:09";"e44fc158-8816-4b3e-8862-aba9bf1f975f"
"00eaf99d-5f02-4e4f-aed6-50a32715fa42";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Alick";"Kime";"akime9w@people.com.cn";"282-439-3899";"2024-07-25 00:09:36";"bd14b9a8-5791-4020-8cb7-8821b238061f"
"0186e8af-a961-4049-9717-93e1b773df62";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Dione";"Ranscombe";"dranscombepe@nytimes.com";"328-632-4697";"2024-09-11 13:17:54";"45b237ae-ae80-4809-a6d6-90f3a962d721"
"027f121e-a898-4b11-beea-673891df37d2";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Lavinie";"Hanssmann";"lhanssmann2s@admin.ch";"682-803-1603";"2024-02-06 20:12:20";"42ec6977-bbde-4fe5-868d-df114f0af34f"
"029d97ab-0b95-402b-b964-b3471ca99f86";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Eduino";"Peres";"eperesot@g.co";"182-391-6331";"2024-08-15 22:51:59";"8daee8b6-d801-4dcd-b36a-6e5ea3fda31c"
"02b81b55-9db1-428a-a8ee-2fe4da405c61";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Moll";"Clampin";"mclampinpu@parallels.com";"940-373-4317";"2024-10-29 21:13:13";"72044b95-89a8-46e0-bff6-af1845e7b56c"
"02f724c4-5895-49a3-95a1-53ef8066aec2";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Lacey";"Jacop";"ljacop3p@gizmodo.com";"969-497-5877";"2024-08-25 06:38:58";"c41519df-672b-401d-9316-92845afaf466"
"02f87364-65e1-4851-9dd9-d036eb0716d5";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Mervin";"Kirdsch";"mkirdschc2@statcounter.com";"991-556-1978";"2024-03-07 12:48:01";"616e6ff4-7722-4e30-b8ee-d901fd6ae84e"
"035febcb-bc46-4461-a6bf-ac885cbdd7d4";"03b2878f-cc1a-4e4a-a692-c3f11fe7b0b9";"Marcia";"Pakeman";"mpakemanc6@xinhuanet.com";"578-158-9018";"2024-05-17 08:47:00";"7dcdb23f-9af0-4827-a3ce-5b35b12f0ec5"
