"PaymentID";"CustomerID";"Amount";"Card_Number";"Card_Type";"Payment_Date";"Payment_Status";"Payment_Method"
"000c9e76-1680-4072-bc29-232678d8b9df";"2d24e7a9-549d-4f0f-acdd-99bb6f118e7c";100.35;"4.01795E+15";"visa";"2024-03-27 19:09:58";"2";"1fhic"
"001579a9-b31d-42e9-8289-726117697d40";"bedcb3e6-f747-44a8-ad4b-0b4865f9fd14";134.2;"4017957411101615";"visa";"2024-02-14 13:42:06";"2";"1fhic"
"004f1c91-79ac-44df-b16f-6c0969e6dfe6";"f5bf28b8-89f4-4230-a308-2df97a8769c8";100.96;"4500071108282391";"visa";"2024-03-05 15:12:07";"3";"1fhic"
"00627aed-89c8-4b42-adad-9749316bf986";"b9b77e18-13f3-4d69-8bb7-b9b8b5377d75";79.79;"370498007052705";"americanexpress";"2024-08-02 03:53:57";"2";"1fhic"
"0088a32c-f905-4673-be5c-c90228d6940b";"da7ec425-f464-43c6-99e4-3b14edc6c13f";247.25;"5100139491474502";"mastercard";"2024-07-17 00:01:28";"2";"1fhic"
"008f46d7-5666-4e24-bb8a-422f3bb158f7";"9b818b33-1d87-462c-a466-889c01ad4504";248.29;"5356884848603508";"mastercard";"2024-10-14 15:32:55";"2";"1fhic"
"0098c017-5893-440b-929b-212a03b9b9db";"04eecf74-b1f1-466f-b559-758acd626e8a";28.43;"349576287530462";"americanexpress";"2024-02-16 03:03:38";"2";"1fhic"
"00a811c5-e063-424f-a0d6-3951e67838c8";"5711e092-046e-447b-ab4b-cfd3698a1e4a";182.96;"374283935046896";"americanexpress";"2024-07-10 14:01:16";"2";"1fhic"
"00f79849-6cf7-4560-a818-c2960cc3bdc6";"16e327ef-21ca-4e6a-a981-89f7a780b223";23.13;"343424498738424";"americanexpress";"2024-04-08 10:15:20";"2";"1fhic"
"00fb1053-f5ee-48a3-834d-c7d880ab514c";"850859a0-e829-4c63-a5e9-3384fad8ecb4";189.92;"343174164366527";"americanexpress";"2024-02-27 03:12:07";"2";"1fhic"
"00ff4ed6-7e75-4b02-938c-1b35f9df4c14";"02f724c4-5895-49a3-95a1-53ef8066aec2";240.5;"4775959234589176";"visa";"2024-08-03 12:28:52";"2";"1fhic"
"010acb33-0420-44c8-a609-b1369c2587eb";"33106bc4-9e60-4f0b-88af-6fedf8b63a14";137.98;"4041599515709925";"visa";"2024-08-30 01:01:13";"3";"1fhic"
"0141a976-1db2-4c1a-9a7a-8397750ccb3f";"b33547cd-ef40-4f25-a7ed-c9478a45e845";140.03;"4041590788674862";"visa";"2024-12-25 03:56:55";"2";"1fhic"
"015affc9-ecb6-4dc9-93f8-007f880a2533";"e9402f68-cbdd-4906-b935-2587562ab7aa";106.48;"5346538130095509";"mastercard";"2024-08-18 19:53:18";"2";"1fhic"
"01b6311f-c3bf-4c97-9059-454df16204b8";"0382ec52-159a-4294-9c55-e5cda1fa8afa";140.36;"5010120581467597";"mastercard";"2024-12-25 06:02:18";"2";"1fhic"
"01c0c442-fd7c-4419-857a-d09863325bd5";"9ab7b849-55d5-460b-ac22-f550fff49958";76.39;"4041375564936259";"visa";"2024-11-23 15:04:09";"1";"1fhic"
"02530dc4-db99-414c-84f3-b1cac04b21e6";"091df9d2-388e-41cc-8032-0bc42f5d1b71";202.39;"374283973087836";"americanexpress";"2024-08-18 10:50:42";"3";"1fhic"
"02e1aaf4-b6e4-4636-88fa-b551725ca0fa";"a4d6ba82-8fc4-4bdd-8105-ab6d5b8b2ea0";202.6;"374288698024147";"americanexpress";"2024-07-19 22:42:58";"2";"1fhic"
"033167ba-4dcb-46bd-94f2-bee007237abc";"545dca6f-1c10-49e5-b135-43aff0c0717f";97.2;"4041378647341";"visa";"2024-03-09 22:55:57";"2";"1fhic"
"0346c04d-9487-425a-8426-a7ba22aca659";"4c4faace-7ce0-4141-a3b7-64096c1436d6";92.59;"5002352447639909";"mastercard";"2024-04-05 17:31:38";"2";"1fhic"
"0368fbe6-86f3-4908-9677-3694a86d3160";"5a42dc04-c0aa-4b1f-ac8d-bd6ec93fa1ae";35.85;"5586433898693894";"mastercard";"2025-01-03 07:58:04";"2";"1fhic"
"0388d087-96c3-4cdf-a485-5108423eb2fe";"48bd50f8-fcf8-4c0f-94fc-cea8ef8d2061";177.77;"5.42255E+15";"mastercard";"2024-11-16 03:52:00";"3";"1fhic"
"046ccace-5e8e-4189-8d59-fa8be93f9724";"8b6b2770-8f92-4c68-978c-d194bfb8bed6";188.92;"4041597520758";"visa";"2024-01-19 12:28:09";"2";"1fhic"
"04cdb952-754e-4c43-922a-8cf1db11c4ac";"079132bc-2c27-4c12-9c82-ebeca20289a7";245.16;"5002352453135834";"mastercard";"2024-02-04 06:27:19";"3";"1fhic"
"04f71d19-c6e7-45b8-a1f7-8d840d8c9e98";"61cbb791-e81d-4303-8d0b-f5331cb64c58";173.95;"372301599787647";"americanexpress";"2024-03-02 20:28:55";"2";"1fhic"
"054589eb-0ff2-494a-b526-84a14616bde8";"d8b10145-4e5c-4ff7-b3c5-8dcff484e7e1";159.05;"5100140725475703";"mastercard";"2024-10-11 19:55:20";"3";"1fhic"
"05c4b8c7-7d2f-4612-ae1f-c2e4becef849";"1768347d-4a97-4b72-aa0e-ed772ee65b59";227.63;"343549673693471";"americanexpress";"2024-03-01 00:33:11";"2";"1fhic"
"06b4a5ad-c65b-45f8-8f39-192b4a1cbe51";"7b86a608-16c2-40e4-a2a7-653f8681906f";178.91;"4017958629149";"visa";"2024-03-17 18:48:03";"3";"1fhic"
"06bffa86-138f-4332-a66a-4a4413b83ce8";"77329779-0d1e-4b20-bf52-15cc2ff21cd5";112.54;"4041595970800829";"visa";"2024-03-31 22:24:34";"2";"1fhic"
"06d97bf8-53d5-4883-92aa-300bc3f813ca";"f3f0ce2e-9ca6-4604-9f07-baab49945c78";49.36;"5100132992854256";"mastercard";"2024-08-21 19:28:47";"2";"1fhic"
"06dee73c-c1fe-4b02-ac70-e59bd0ee669d";"2c5f0cae-9479-4717-b5ef-60d28742a33d";93.44;"5277029476397363";"mastercard";"2024-12-12 00:09:08";"2";"1fhic"
"07529981-43bf-4a6d-8040-5ec5fa3545af";"39db39ba-edd5-4bae-9226-ed2c46f310fa";117.78;"4722272179446";"visa";"2024-08-28 03:09:26";"2";"1fhic"
"07b09e56-2d6c-4b7e-ace5-f9a0180a13dd";"06f08cac-6fef-4342-80c7-e86efcad2a6d";23.93;"373892428823602";"americanexpress";"2024-04-03 21:00:32";"2";"1fhic"
"07bc917e-2e43-4076-895b-d70ce0be974c";"d436c8de-15be-4297-963e-2ea755fcd5f3";19.92;"4041371808338";"visa";"2024-12-08 09:34:49";"2";"1fhic"
"07e6212e-9a4a-4628-948b-b7760d70a8d4";"2ce84341-6deb-437c-83d2-6e2a574e2b43";42.06;"374622286786586";"americanexpress";"2024-09-24 10:36:12";"2";"1fhic"
"07f0d061-ce9d-4c32-81a3-37530f84006d";"7b86a608-16c2-40e4-a2a7-653f8681906f";111.09;"374531705052753";"americanexpress";"2024-07-11 23:00:11";"2";"1fhic"
"0847dd29-47cd-423a-a285-ed2ee2c43480";"d165f722-3097-422d-badf-2b655ee2e83e";216.79;"4017955058711662";"visa";"2024-05-15 02:37:32";"1";"1fhic"
"08651de2-e32b-42f8-a52a-096e722de357";"2ade4a99-0bb3-490b-8998-2e2ab0fad5ea";104.99;"346399036561826";"americanexpress";"2024-12-07 16:26:07";"1";"1fhic"
"09c250a0-84d6-430d-afea-44351acbdfca";"3b975930-74c5-4213-8047-cfd5e1b97a4b";215.93;"374283854700390";"americanexpress";"2024-08-11 21:48:03";"2";"1fhic"
"09cd0c8f-e0e2-4695-ae55-5b339912f42e";"fc79dcd1-8c49-4918-a71c-06ba199ac2f8";161.49;"4041378426050";"visa";"2024-09-27 19:10:47";"2";"1fhic"
"09e3f431-2273-4a80-9f2d-41241484e670";"50f15e60-675c-41b3-b9f0-519ba0a910f7";207.86;"5468317678575889";"mastercard";"2024-11-29 01:28:47";"2";"1fhic"
"0a57a5f3-66da-4b45-a411-164c8f0a5add";"59332791-fde6-4d19-ad38-6e921f37723b";97.41;"5002358846321346";"mastercard";"2024-08-10 06:56:15";"1";"1fhic"
"0a8d3a5c-53ff-4a0a-827b-ef7bde90f9c0";"7ba3060d-6c96-4b6b-8725-054ed14f870a";61.69;"374283313551863";"americanexpress";"2024-02-22 04:33:00";"2";"1fhic"
"0ab47693-cdee-44c0-8e20-ba87b9d8aa6f";"c2b08b05-15b1-4684-95c8-ba675fccfe3c";176.51;"5324260634927527";"mastercard";"2024-11-13 13:10:47";"2";"1fhic"
"0ab91eb3-1d91-403b-b64c-8d25a3f9ce2c";"4af4d679-0af7-47c3-a7d9-946419d54a6b";95.95;"374283211786850";"americanexpress";"2024-10-20 00:36:26";"2";"1fhic"
"0ad711ad-9187-4668-87a1-82a61a517f8e";"3c840ed5-4dc3-43f5-b1e4-0c1ad743fca0";159.39;"4186120756988139";"visa";"2024-08-18 15:58:58";"2";"1fhic"
"0b24d21a-0bba-467c-b1c1-40861641f1e3";"ed0685db-a5fa-4e2b-abe1-46326471f9ed";183.93;"5100131995934982";"mastercard";"2024-10-21 21:39:59";"3";"1fhic"
"0b30e1df-2a6f-4e78-9d79-4545a093cc6b";"e03a5608-3364-4f43-b265-0a11b15d0c4b";79.48;"5542710891719724";"mastercard";"2024-02-18 23:38:53";"3";"1fhic"
"0b58d936-1e8f-4db3-8c7b-0a385c4e52be";"93f709e2-97cc-4a85-a380-82e3229f6cdb";244.22;"4002387228119";"visa";"2024-11-19 05:03:56";"1";"1fhic"
"0bd407de-38ed-4844-b38f-3d562cc19dbd";"663e3823-1499-42fa-b916-03700b319098";170.84;"5100138803951041";"mastercard";"2024-12-29 22:44:33";"2";"1fhic"
"0bf83583-687d-4dba-8505-7b05e6a76707";"c45bc17b-9dad-45ae-8673-88596f3f3bd4";132.95;"4041594903596778";"visa";"2024-09-04 06:14:52";"3";"1fhic"
"0ca30c92-e95c-42dc-9ba1-8dba18463ddb";"69272fcc-fba9-41f6-a06f-74c228b565e4";74.04;"374283209069038";"americanexpress";"2024-12-19 14:31:27";"2";"1fhic"
"0cbf8987-a157-43ce-a91b-2799b24e58d9";"6173c938-4069-4537-aad1-7dd0fbedab9f";34.61;"4041590918272";"visa";"2024-12-24 05:15:15";"2";"1fhic"
"0cd50f8d-4949-4f4e-92cd-baa4ab74ad2b";"26ab00f7-231e-49d0-9983-d10ac7b1f079";68.85;"4041591254779433";"visa";"2024-01-08 18:18:08";"2";"1fhic"
